age,weight,height,income,smoker,city,occupation,insurance_premium_category
33,57.7,1.58,15439,No,Gorkha,Intern,Low
59,50.4,1.66,30557,No,Pokhara,Engineer,Low
49,75.4,1.66,10882,No,Bhairahawa,Student,Low
45,66.3,1.74,17082,No,Hetauda,Teacher Assistant,Low
42,76.9,1.72,19902,Yes,Gorkha,Part-time Worker,Low
21,53.2,1.45,1862,No,Kathmandu,Office Assistant,Low
31,66.5,1.56,6706,No,Janakpur,Intern,Low
62,79.7,1.74,14613,No,Biratnagar,Student,Low
53,55.3,1.48,21499,Yes,Itahari,Teacher Assistant,Low
61,53.4,1.62,20408,Yes,Butwal,Teacher Assistant,Medium
18,46.3,1.68,8971,No,Pokhara,Office Assistant,Low
19,62.4,1.59,35913,No,Gorkha,Engineer,Low
64,66.4,1.62,43525,No,Tulsipur,Software Developer,Medium
42,89.7,1.94,48944,Yes,Nepalgunj,Software Developer,Low
60,68.6,1.78,9210,No,Lalitpur,Student,Low
25,65.5,1.6,28362,No,Lalitpur,Designer,Low
62,94.1,1.72,15209,No,Janakpur,Student,Medium
19,63.7,1.54,14562,No,Gorkha,Student,Low
54,76.7,1.65,28917,No,Kathmandu,Part-time Worker,Medium
63,55.7,1.72,25850,Yes,Tulsipur,Engineer,Medium
39,50.2,1.58,11713,No,Biratnagar,Teacher Assistant,Low
61,58.2,1.5,23904,Yes,Kathmandu,Student,Medium
32,60.3,1.6,32586,No,Bhairahawa,Engineer,Low
30,67.4,1.61,44993,No,Lalitpur,Software Developer,Low
36,65.3,1.59,22763,No,Pokhara,Teacher Assistant,Low
44,60.7,1.57,33823,Yes,Kathmandu,Engineer,Low
38,54.1,1.51,9577,No,Nepalgunj,Intern,Low
25,63.8,1.65,16845,No,Dhangadhi,Office Assistant,Low
29,66.4,1.58,13792,No,Biratnagar,Intern,Low
59,57.6,1.72,9094,No,Dharan,Student,Medium
55,71.0,1.68,48115,No,Kathmandu,Engineer,Low
45,84.0,1.9,29521,No,Butwal,Designer,Low
56,72.1,1.71,30210,No,Dharan,Software Developer,Medium
29,59.9,1.52,13609,No,Kathmandu,Part-time Worker,Low
37,48.7,1.75,35021,No,Dharan,Engineer,Low
47,47.3,1.45,20657,Yes,Pokhara,Student,Low
33,46.4,1.67,19326,No,Pokhara,Student,Low
28,78.5,1.67,18512,Yes,Kathmandu,Intern,Low
62,71.6,1.67,20192,No,Biratnagar,Student,Low
60,59.3,1.45,12295,Yes,Janakpur,Student,Medium
43,71.4,1.66,28894,No,Butwal,Student,Low
35,69.1,1.67,4756,No,Nepalgunj,Student,Low
46,62.8,1.71,23388,Yes,Kathmandu,Student,Low
19,65.2,1.69,17223,No,Bhairahawa,Teacher Assistant,Low
26,77.3,1.68,14895,No,Hetauda,Part-time Worker,Low
40,67.7,1.64,15335,No,Itahari,Student,Low
24,77.4,1.65,24072,No,Biratnagar,Student,Low
27,57.2,1.53,20194,No,Butwal,Office Assistant,Low
28,97.3,1.86,13901,No,Lalitpur,Intern,Low
54,71.1,1.62,15042,No,Hetauda,Student,Medium
41,58.6,1.67,19704,No,Kathmandu,Teacher Assistant,Low
48,73.1,1.7,18690,No,Hetauda,Student,Medium
57,47.6,1.62,12058,No,Butwal,Student,Low
43,79.6,1.79,10117,No,Tulsipur,Student,Low
39,60.2,1.66,52082,No,Pokhara,Engineer,Low
39,58.9,1.63,20977,No,Itahari,Student,Low
60,72.4,1.65,23936,No,Kathmandu,Office Assistant,Medium
42,66.2,1.64,9833,No,Lalitpur,Student,Low
56,56.4,1.56,22326,No,Butwal,Intern,Low
35,59.8,1.66,17734,No,Pokhara,Student,Low
44,51.3,1.72,30336,No,Biratnagar,Designer,Low
28,76.4,1.66,17683,Yes,Pokhara,Intern,Low
58,64.5,1.56,25171,No,Butwal,Engineer,Low
28,75.6,1.64,13028,No,Butwal,Student,Low
46,61.4,1.53,15331,No,Janakpur,Office Assistant,Low
57,62.4,1.59,15517,No,Pokhara,Student,Medium
38,72.7,1.64,10392,No,Bharatpur,Office Assistant,Low
39,69.1,1.61,22034,No,Janakpur,Office Assistant,Low
63,70.6,1.68,23641,No,Pokhara,Part-time Worker,Low
38,93.1,1.76,18964,No,Pokhara,Intern,Low
32,46.7,1.63,6920,No,Hetauda,Student,Low
51,42.1,1.54,21736,No,Kathmandu,Part-time Worker,Low
21,78.1,1.69,25774,No,Lalitpur,Software Developer,Low
28,67.5,1.54,15068,No,Pokhara,Part-time Worker,Low
47,61.6,1.72,14489,No,Pokhara,Student,Low
25,73.6,1.6,34931,No,Bharatpur,Engineer,Low
25,51.8,1.58,12581,No,Gorkha,Student,Low
43,71.1,1.65,13977,No,Hetauda,Student,Low
18,84.4,1.79,36054,No,Hetauda,Engineer,Low
53,43.9,1.68,22007,No,Hetauda,Teacher Assistant,Low
31,48.4,1.65,15023,Yes,Pokhara,Student,Low
61,74.6,1.77,25348,No,Kathmandu,Student,Low
45,62.2,1.64,16573,No,Biratnagar,Intern,Low
43,61.3,1.63,7689,No,Gorkha,Student,Low
38,57.1,1.61,18350,No,Tulsipur,Software Developer,Low
58,68.9,1.58,5304,No,Janakpur,Student,Low
37,78.9,1.63,9174,No,Bharatpur,Student,Low
63,62.4,1.68,24048,No,Dharan,Designer,Medium
50,45.0,1.63,8143,No,Nepalgunj,Part-time Worker,Low
39,72.0,1.7,24632,No,Tulsipur,Engineer,Low
59,101.5,1.82,19146,Yes,Lalitpur,Part-time Worker,Medium
38,70.8,1.64,12816,No,Biratnagar,Part-time Worker,Low
32,41.9,1.63,24577,No,Kathmandu,Office Assistant,Low
18,46.7,1.52,26992,No,Gorkha,Engineer,Low
33,69.6,1.55,16486,No,Itahari,Student,Low
62,78.2,1.64,20241,Yes,Janakpur,Student,Medium
61,61.1,1.64,15131,No,Kathmandu,Student,Low
29,45.9,1.49,10683,No,Kathmandu,Part-time Worker,Low
18,57.8,1.45,12847,No,Bharatpur,Student,Low
26,63.2,1.66,10924,Yes,Tulsipur,Teacher Assistant,Low
56,49.5,1.65,12492,No,Bharatpur,Intern,Low
22,67.6,1.75,14733,No,Pokhara,Intern,Low
34,73.7,1.69,10784,No,Tulsipur,Student,Low
24,76.5,1.66,16603,Yes,Lalitpur,Office Assistant,Medium
38,59.1,1.65,23405,Yes,Butwal,Office Assistant,Medium
23,69.6,1.65,29368,No,Nepalgunj,Designer,Low
22,86.9,1.78,23365,No,Hetauda,Engineer,Low
39,60.0,1.68,19616,No,Hetauda,Student,Low
47,76.2,1.64,38720,No,Kathmandu,Engineer,Medium
55,77.2,1.77,29222,No,Kathmandu,Student,Low
51,55.8,1.74,13943,No,Kathmandu,Student,Low
41,75.4,1.78,33684,Yes,Gorkha,Engineer,Low
53,71.4,1.82,21544,No,Butwal,Engineer,Low
31,45.1,1.65,1500,No,Pokhara,Student,Low
45,75.3,1.63,28111,No,Bhairahawa,Engineer,Low
22,72.1,1.57,33117,No,Lalitpur,Engineer,Low
63,66.0,1.73,17574,No,Dharan,Intern,Low
63,98.0,1.8,11387,No,Dhangadhi,Intern,Medium
48,66.9,1.67,9717,Yes,Tulsipur,Student,Medium
18,44.5,1.62,18779,No,Lalitpur,Student,Low
28,49.9,1.64,18999,No,Lalitpur,Student,Low
26,69.6,1.45,17248,No,Itahari,Part-time Worker,Medium
62,72.2,1.85,34138,No,Kathmandu,Part-time Worker,Medium
19,62.9,1.55,11807,No,Itahari,Teacher Assistant,Low
50,65.2,1.57,20679,No,Butwal,Student,Low
49,44.3,1.63,15166,No,Bhairahawa,Student,Low
20,70.8,1.69,16805,No,Dhangadhi,Part-time Worker,Low
63,69.7,1.57,28940,No,Pokhara,Student,Low
29,60.5,1.64,8166,No,Gorkha,Part-time Worker,Low
54,74.2,1.79,21280,Yes,Lalitpur,Part-time Worker,Low
30,67.2,1.61,43659,Yes,Kathmandu,Software Developer,Medium
31,44.4,1.63,10972,No,Biratnagar,Student,Low
39,61.4,1.68,13600,No,Bhairahawa,Software Developer,Low
61,46.9,1.69,20321,No,Itahari,Part-time Worker,Low
38,72.7,1.57,16226,No,Butwal,Intern,Medium
29,61.2,1.56,14461,No,Butwal,Student,Low
33,50.9,1.67,16084,Yes,Dharan,Student,Low
46,97.9,1.78,18001,No,Lalitpur,Office Assistant,Medium
57,70.0,1.61,12698,No,Lalitpur,Office Assistant,Medium
44,93.0,1.71,17541,No,Gorkha,Part-time Worker,Low
42,73.6,1.66,15220,No,Janakpur,Teacher Assistant,Low
19,51.0,1.68,24676,No,Bhairahawa,Student,Low
43,68.0,1.71,25509,No,Kathmandu,Teacher Assistant,Low
32,65.3,1.62,18338,No,Dhangadhi,Office Assistant,Low
40,61.7,1.68,20889,Yes,Biratnagar,Designer,Low
55,45.3,1.45,1500,No,Kathmandu,Student,Low
49,61.1,1.64,19615,No,Bhairahawa,Engineer,Medium
56,59.4,1.45,22096,No,Butwal,Intern,Medium
18,62.2,1.73,11124,No,Kathmandu,Student,Low
41,72.7,1.73,16821,No,Hetauda,Student,Low
23,91.1,1.81,43597,No,Lalitpur,Software Developer,Low
42,62.2,1.68,6161,No,Bhairahawa,Student,Low
47,54.6,1.46,24427,No,Janakpur,Software Developer,Low
28,69.1,1.63,17625,No,Pokhara,Student,Low
42,53.3,1.63,16512,No,Lalitpur,Student,Low
44,49.4,1.58,11052,No,Biratnagar,Student,Low
26,47.8,1.65,6923,No,Lalitpur,Student,Low
49,71.0,1.7,18994,No,Bhairahawa,Student,Low
57,73.3,1.64,21816,Yes,Kathmandu,Intern,Medium
35,81.5,1.78,21207,No,Kathmandu,Student,Low
22,81.4,1.78,8345,No,Dhangadhi,Student,Low
52,71.2,1.75,10285,No,Lalitpur,Student,Low
18,61.0,1.68,13455,No,Bhairahawa,Student,Low
45,65.9,1.65,22834,No,Pokhara,Student,Low
23,68.4,1.68,25034,No,Kathmandu,Part-time Worker,Low
25,54.1,1.5,10787,No,Janakpur,Part-time Worker,Low
18,62.6,1.65,20071,No,Butwal,Part-time Worker,Low
41,71.4,1.68,13899,Yes,Butwal,Student,Medium
54,52.3,1.55,28288,No,Bharatpur,Designer,Medium
44,75.0,1.72,35505,No,Itahari,Engineer,Low
51,40.0,1.47,16634,No,Butwal,Student,Low
61,75.1,1.66,19141,No,Pokhara,Student,Low
56,64.7,1.69,33753,No,Tulsipur,Engineer,Medium
59,59.2,1.49,10456,Yes,Dhangadhi,Student,Medium
38,63.5,1.64,17361,No,Kathmandu,Part-time Worker,Low
41,44.0,1.63,16690,No,Kathmandu,Intern,Low
25,57.5,1.57,30070,Yes,Kathmandu,Teacher Assistant,Medium
37,78.8,1.75,13070,Yes,Kathmandu,Intern,Low
46,76.4,1.7,25252,Yes,Pokhara,Intern,Low
40,46.7,1.68,17903,No,Lalitpur,Part-time Worker,Low
30,52.0,1.67,27663,No,Kathmandu,Student,Low
44,53.9,1.52,27597,No,Lalitpur,Engineer,Low
35,64.3,1.64,14607,No,Bharatpur,Engineer,Low
37,65.6,1.84,37778,No,Pokhara,Part-time Worker,Low
29,53.1,1.54,12633,No,Gorkha,Student,Low
64,72.7,1.6,28968,No,Biratnagar,Software Developer,Medium
45,66.1,1.59,9162,No,Hetauda,Student,Low
22,98.3,1.78,24513,No,Tulsipur,Office Assistant,Medium
32,104.2,1.71,56730,Yes,Janakpur,Software Developer,High
63,65.7,1.69,3582,Yes,Nepalgunj,Office Assistant,Low
37,64.8,1.64,16131,No,Butwal,Student,Low
43,69.4,1.69,27546,No,Bhairahawa,Engineer,Low
51,69.5,1.58,15066,Yes,Nepalgunj,Part-time Worker,Medium
35,68.6,1.73,25492,No,Biratnagar,Student,Low
59,69.0,1.65,8743,No,Bharatpur,Part-time Worker,Low
63,65.8,1.67,8118,No,Biratnagar,Student,Low
19,70.7,1.82,15676,No,Lalitpur,Teacher Assistant,Low
44,59.7,1.62,18536,No,Tulsipur,Student,Low
64,64.5,1.65,33695,No,Lalitpur,Engineer,Low
51,66.6,1.7,22609,No,Hetauda,Office Assistant,Low
22,54.6,1.69,30752,No,Janakpur,Software Developer,Low
35,71.0,1.72,26133,No,Pokhara,Student,Low
49,65.8,1.69,11722,No,Pokhara,Student,Low
24,50.5,1.64,14945,No,Lalitpur,Student,Low
54,81.5,1.78,13019,Yes,Pokhara,Intern,Low
31,78.8,1.67,8414,No,Butwal,Student,Low
32,43.2,1.56,20764,No,Pokhara,Office Assistant,Low
58,44.2,1.61,23025,No,Pokhara,Student,Low
51,77.2,1.68,13184,No,Tulsipur,Intern,Low
41,58.3,1.54,28927,No,Bhairahawa,Software Developer,Low
23,56.3,1.63,36301,No,Dharan,Software Developer,Low
24,49.5,1.6,5135,No,Itahari,Student,Low
23,52.7,1.51,15429,No,Pokhara,Part-time Worker,Low
22,68.7,1.69,11826,No,Hetauda,Student,Low
34,67.6,1.75,8438,No,Pokhara,Student,Low
57,49.4,1.59,8458,Yes,Hetauda,Student,Low
38,55.2,1.5,25105,No,Itahari,Sales Executive,Low
53,71.8,1.77,21752,No,Nepalgunj,Intern,Low
51,72.1,1.66,16668,No,Pokhara,Student,Low
40,73.1,1.8,28455,No,Butwal,Software Developer,Low
57,60.8,1.64,17471,No,Kathmandu,Teacher Assistant,Low
43,49.6,1.75,11611,No,Bhairahawa,Student,Low
41,62.2,1.76,29920,No,Kathmandu,Office Assistant,Low
24,71.7,1.6,24744,No,Biratnagar,Intern,Low
36,61.4,1.71,20105,No,Kathmandu,Student,Low
34,72.4,1.61,16575,No,Tulsipur,Part-time Worker,Low
54,68.4,1.6,1658,No,Tulsipur,Student,Low
46,59.4,1.68,24452,No,Kathmandu,Part-time Worker,Low
18,65.5,1.68,55609,No,Kathmandu,Software Developer,Low
25,67.3,1.6,20352,No,Gorkha,Sales Executive,Low
20,94.6,1.76,23016,No,Lalitpur,Intern,Low
22,51.7,1.51,22291,No,Biratnagar,Student,Low
43,69.4,1.71,33408,No,Bharatpur,Sales Executive,Low
27,56.8,1.55,26911,No,Butwal,Student,Low
27,72.9,1.61,32240,No,Lalitpur,Office Assistant,Low
29,55.0,1.62,27012,No,Butwal,Designer,Low
59,69.8,1.66,18449,No,Nepalgunj,Software Developer,Low
59,74.9,1.62,20037,No,Lalitpur,Engineer,Low
47,73.3,1.72,17381,No,Butwal,Student,Low
64,64.9,1.73,1500,No,Biratnagar,Student,Medium
23,51.9,1.55,13383,No,Pokhara,Teacher Assistant,Low
49,59.7,1.74,13795,No,Itahari,Student,Low
63,61.9,1.51,15409,No,Hetauda,Student,Low
39,69.5,1.69,33411,No,Biratnagar,Engineer,Low
40,96.5,1.72,8789,No,Dharan,Student,Medium
62,70.3,1.63,44535,No,Pokhara,Engineer,Medium
57,47.0,1.52,23400,No,Dhangadhi,Part-time Worker,Low
55,52.6,1.54,29200,No,Pokhara,Engineer,Low
55,57.4,1.65,21229,No,Pokhara,Part-time Worker,Low
48,58.6,1.69,34922,No,Pokhara,Office Assistant,Low
24,87.8,1.74,26048,Yes,Pokhara,Intern,Low
32,58.4,1.59,20723,No,Bharatpur,Sales Executive,Low
57,62.8,1.73,11434,No,Tulsipur,Intern,Low
53,68.9,1.67,22198,No,Kathmandu,Student,Medium
55,63.4,1.56,24209,No,Pokhara,Intern,Low
25,73.0,1.83,10698,No,Dhangadhi,Student,Low
62,49.1,1.66,12056,No,Kathmandu,Student,Low
57,67.7,1.65,22492,No,Itahari,Student,Low
63,59.8,1.57,23961,No,Hetauda,Engineer,Low
24,54.9,1.64,25581,No,Biratnagar,Designer,Low
21,71.1,1.69,13404,No,Biratnagar,Student,Low
52,54.8,1.69,32672,No,Pokhara,Student,Low
41,79.0,1.62,6438,No,Kathmandu,Student,Low
19,82.6,1.74,20656,No,Hetauda,Student,Low
58,50.6,1.49,17176,Yes,Gorkha,Student,Medium
48,90.7,1.79,16539,No,Bhairahawa,Part-time Worker,Low
27,76.0,1.74,37070,No,Butwal,Software Developer,Low
31,120.0,1.87,15196,Yes,Bhairahawa,Student,High
32,66.1,1.7,22929,No,Lalitpur,Student,Low
55,54.9,1.64,25752,No,Lalitpur,Intern,Low
20,56.7,1.45,22364,No,Bhairahawa,Part-time Worker,Low
23,78.5,1.75,29967,No,Dhangadhi,Office Assistant,Low
35,72.1,1.66,39619,Yes,Biratnagar,Engineer,Low
51,45.4,1.67,11904,No,Hetauda,Part-time Worker,Low
50,59.4,1.69,20717,No,Pokhara,Part-time Worker,Low
22,71.6,1.71,22248,No,Pokhara,Part-time Worker,Low
61,67.4,1.55,24614,No,Tulsipur,Designer,Medium
23,63.1,1.82,19615,No,Dhangadhi,Intern,Low
46,43.5,1.48,15301,No,Itahari,Intern,Low
37,50.2,1.62,10335,No,Dhangadhi,Office Assistant,Low
54,55.5,1.55,4198,Yes,Hetauda,Student,Low
26,64.8,1.66,15287,No,Lalitpur,Student,Low
52,68.5,1.55,24112,No,Janakpur,Teacher Assistant,Low
24,66.8,1.67,21827,No,Biratnagar,Engineer,Low
22,65.7,1.68,17886,No,Hetauda,Office Assistant,Low
31,42.2,1.65,17055,No,Biratnagar,Student,Low
50,55.6,1.62,17845,No,Nepalgunj,Teacher Assistant,Low
39,56.5,1.53,9963,No,Kathmandu,Student,Low
47,66.5,1.78,14298,No,Tulsipur,Intern,Low
37,46.6,1.52,17431,No,Butwal,Student,Low
